date,departments,daily_visits,daily_admissions,admission_rate,patient_days,daily_discharge,wait_time,daily_revenue,ctf_daily,daily_profit,ctp_daily,beds_in_use,total_beds,occupancy_rate,daily_readmission,readmission_rate,bed_turnover,employee_count,employee_resign,employee_turnover,equip_count,equip_use,staff_patient_ratio,refer_reason,doctor_id,day_of_week
2024-01-01,emergency,34,0,0.0,0,21,24,0,0,0,0,43,63,0.68,0,0.0,0.0,14,0,0.0,58,0.9,1:2,Lab Tests,EME4,Monday
2024-01-02,internal_med,20,0,0.0,28,32,59,0,0,0,0,32,55,0.58,1,0.0,0.0,19,0,0.0,32,0.9,1:3,Lab Tests,INT7,Tuesday
2024-01-03,surgery,0,0,0.0,122,12,0,4292,0,4281,0,5,12,0.42,3,0.03,0.0,18,0,0.0,42,0.9,1:2,Chronic Illness,SUR23,Wednesday
2024-01-04,pediatric,16,0,0.0,97,2,59,0,0,0,0,11,11,1.0,3,0.18,0.0,18,1,0.06,59,0.5,1:3,Mental Health,PED16,Thursday
2024-01-05,obgyn,17,0,0.0,59,27,59,0,0,0,0,42,42,1.0,1,0.14,0.0,15,0,0.0,49,1.0,1:3,Prenatal,OBG12,Friday
2024-01-06,cardio,14,14,1.0,61,2,12,0,0,0,0,38,57,0.67,1,0.13,0.2,15,1,0.07,18,1.0,1:4,Chronic Illness,CAR3,Saturday
2024-01-07,orthopedic,29,0,0.0,45,32,0,0,0,0,0,44,68,0.65,1,0.15,0.0,17,1,0.06,49,0.9,1:1,Prenatal,ORT14,Sunday
2024-01-08,neurology,21,15,0.71,132,4,0,0,0,0,0,28,47,0.6,2,0.17,0.3,10,1,0.1,10,0.9,1:2,Rehabilitation,NEU10,Monday
2024-01-09,oncology,24,0,0.0,80,19,46,0,0,0,0,61,71,0.86,3,0.13,0.0,13,0,0.0,31,0.6,1:4,Child Health,ONC13,Tuesday
2024-01-10,radiology,6,0,0.0,0,0,0,16734,0,16717,0,0,0,0.0,0,0.0,0.0,0,0,0.0,30,0.6,1:2,0,RAD20,Wednesday
2024-01-11,pathology,15,0,0.0,0,0,0,12529,0,12516,0,0,0,0.0,0,0.0,0.0,0,0,0.0,39,0.9,1:4,0,PAT15,Thursday
2024-01-12,anesthesiology,40,0,0.0,0,0,0,10069,0,10054,0,0,0,0.0,0,0.0,0.0,0,0,0.0,19,0.6,1:3,0,ANE2,Friday
2024-01-13,icu,35,0,0.0,76,13,50,0,0,0,0,39,39,1.0,3,0.05,0.0,12,1,0.08,17,0.9,1:4,Elective Procedure,ICU5,Saturday
2024-01-14,psychiatry,20,20,1.0,87,12,7,0,0,0,0,30,74,0.41,3,0.05,0.3,11,0,0.0,51,0.7,1:3,Cancer,PSY19,Sunday
2024-01-15,physical_therapy,45,0,0.0,0,19,0,11789,0,11773,0,17,26,0.65,0,0.0,0.0,15,0,0.0,38,0.9,1:1,0,PHY18,Monday
2024-01-16,resp_therapy,30,0,0.0,0,12,0,3485,0,3477,0,58,58,1.0,0,0.0,0.0,15,1,0.07,49,0.7,1:4,0,RES21,Tuesday
2024-01-17,nutrition_diet,26,0,0.0,0,0,0,2358,0,2344,0,0,0,0.0,0,0.0,0.0,13,0,0.0,0,0.0,1:4,0,NUT11,Wednesday
2024-01-18,pharmacy,16,0,0.0,0,0,0,16691,0,16688,0,0,0,0.0,0,0.0,0.0,0,0,0.0,55,0.9,1:2,0,PHA17,Thursday
2024-01-19,laboratory,36,0,0.0,0,0,0,11025,0,11018,0,0,0,0.0,0,0.0,0.0,0,0,0.0,21,0.6,1:1,0,LAB8,Friday
2024-01-20,infection_control,28,0,0.0,0,31,0,0,0,0,0,0,0,0.61,0,0.14,0.0,0,0,0.0,0,0.0,1:2,0,INF6,Saturday
2024-01-21,medical_records,12,0,0.0,0,0,0,1318,0,1309,0,0,0,0.0,0,0.0,0.0,17,1,0.06,0,0.0,1:2,0,MED9,Sunday
2024-01-22,admin,39,0,0.0,0,0,0,10729,0,10712,0,0,0,0.0,0,0.0,0.0,11,0,0.0,0,0.0,1:4,0,ADM1,Monday
2024-01-23,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,12,1,0.08,0,0.0,0,0,SEC22,Tuesday
2024-01-24,emergency,45,31,0.69,0,5,32,0,0,0,0,28,64,0.44,0,0.0,0.0,18,1,0.06,38,0.5,1:2,Accident,EME4,Wednesday
2024-01-25,internal_med,29,0,0.0,47,35,55,0,0,0,0,30,35,0.86,4,0.04,0.0,12,0,0.0,13,0.8,1:4,Rehabilitation,INT7,Thursday
2024-01-26,surgery,0,0,0.0,41,31,0,9490,0,9473,0,36,63,0.57,2,0.08,0.0,14,1,0.07,22,0.8,1:3,Cancer,SUR23,Friday
2024-01-27,pediatric,28,28,1.0,94,1,18,0,0,0,0,10,70,0.14,3,0.06,0.4,12,0,0.0,37,0.7,1:1,Critical Care,PED16,Saturday
2024-01-28,obgyn,22,0,0.0,89,25,38,0,0,0,0,25,25,1.0,2,0.02,0.0,15,0,0.0,29,0.7,1:2,Child Health,OBG12,Sunday
2024-01-29,cardio,22,5,0.23,40,21,53,0,0,0,0,24,50,0.48,3,0.09,0.1,12,0,0.0,16,0.7,1:4,Lab Tests,CAR3,Monday
2024-01-30,orthopedic,38,0,0.0,87,10,0,0,0,0,0,10,10,1.0,4,0.08,0.0,14,0,0.0,18,1.0,1:1,Breathing Disorders,ORT14,Tuesday
2024-01-31,neurology,11,0,0.0,102,12,0,0,0,0,0,12,12,1.0,4,0.05,0.0,10,0,0.0,16,0.8,1:4,Breathing Disorders,NEU10,Wednesday
2024-02-01,oncology,34,0,0.0,141,30,31,0,0,0,0,37,43,0.86,1,0.2,0.0,13,1,0.08,48,0.9,1:3,Mental Health,ONC13,Thursday
2024-02-02,radiology,18,0,0.0,0,0,0,2904,0,2901,0,0,0,0.0,0,0.0,0.0,0,0,0.0,29,0.9,1:4,0,RAD20,Friday
2024-02-03,pathology,21,0,0.0,0,0,0,15117,0,15106,0,0,0,0.0,0,0.0,0.0,0,0,0.0,18,0.9,1:4,0,PAT15,Saturday
2024-02-04,anesthesiology,10,0,0.0,0,0,0,17866,0,17850,0,0,0,0.0,0,0.0,0.0,0,0,0.0,39,0.9,1:3,0,ANE2,Sunday
2024-02-05,icu,28,25,0.89,50,16,34,0,0,0,0,20,61,0.33,0,0.01,0.4,13,1,0.08,59,0.9,1:4,Chronic Illness,ICU5,Monday
2024-02-06,psychiatry,32,11,0.34,21,7,16,0,0,0,0,14,32,0.44,4,0.03,0.3,13,1,0.08,34,0.5,1:4,Mental Health,PSY19,Tuesday
2024-02-07,physical_therapy,27,0,0.52,0,19,0,19717,0,19710,0,43,76,0.57,0,0.0,0.0,14,0,0.0,49,0.7,1:2,0,PHY18,Wednesday
2024-02-08,resp_therapy,34,0,0.0,0,28,0,7526,0,7515,0,31,31,1.0,0,0.0,0.0,15,0,0.0,11,0.9,1:2,0,RES21,Thursday
2024-02-09,nutrition_diet,25,0,0.0,0,0,0,2159,0,2153,0,0,0,0.0,0,0.0,0.0,11,0,0.0,0,0.0,1:4,0,NUT11,Friday
2024-02-10,pharmacy,16,0,0.0,0,0,0,1396,0,1383,0,0,0,0.0,0,0.0,0.0,0,0,0.0,39,0.5,1:3,0,PHA17,Saturday
2024-02-11,laboratory,39,0,0.0,0,0,0,1541,0,1528,0,0,0,0.0,0,0.0,0.0,0,0,0.0,10,0.6,1:2,0,LAB8,Sunday
2024-02-12,infection_control,5,0,0.0,0,18,0,0,0,0,0,0,0,1.0,3,0.18,0.0,0,0,0.0,0,0.0,1:4,0,INF6,Monday
2024-02-13,medical_records,19,0,0.0,0,0,0,16675,0,16667,0,0,0,0.0,0,0.0,0.0,16,0,0.0,0,0.0,1:1,0,MED9,Tuesday
2024-02-14,admin,12,0,0.0,0,0,0,12244,0,12227,0,0,0,0.0,0,0.0,0.0,12,1,0.08,0,0.0,1:1,0,ADM1,Wednesday
2024-02-15,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,17,0,0.0,0,0.0,0,0,SEC22,Thursday
2024-02-16,emergency,21,13,0.62,0,28,56,0,0,0,0,35,76,0.46,0,0.0,0.0,13,1,0.08,46,1.0,1:4,Critical Care,EME4,Friday
2024-02-17,internal_med,36,2,0.06,101,4,9,0,0,0,0,17,23,0.74,4,0.19,0.1,11,0,0.0,36,0.8,1:2,Prenatal,INT7,Saturday
